action	first	count	mask	contention	completion	case_key_sha256	full_record_sha256
lock-exclusive	0	3	07	sibling-overlap-busy	completed	67ca1e8fa729572cace3bc4a56f686725f028de620791ff0a65a9a669c940c30	89b9415933af698c2c55dc18e84c3e49e968ba18151a3d51787cda2d2a8b5e32
lock-exclusive	1	3	0e	sibling-overlap-busy	completed	a50af68e11db1a6c6aba7740396d00bccd8e7baf62677feb1777ab91dbbfc129	34a3d2a5ce1ecbfd8ee8dc854c9f0b264c2f0720a6b8cc652b1219e3a5450cf8
lock-exclusive	2	3	1c	sibling-overlap-busy	completed	ed2085321ad8bd14cc98839cd3cda9904f744bbacff5450ccbe81dfe5f5bf3a6	656e1d3d4af4a6cc2ac0d852ed8404ea50f569f679a4c63ee4ce871f3f382544
lock-exclusive	3	3	38	sibling-overlap-busy	completed	d2eddfa3f6c24f917c177e537e604ef8eed613e5bddcece934f46782251b2d2f	e6415bb968ffcd42e83d79a6b98d6b46a5600216112ddaaa7176e46c20cbe5c4
lock-exclusive	4	3	70	sibling-overlap-busy	completed	91d959eadc9f18f5ed5b57185b883d215a4496443be949e94201e1f075a7281d	751737b106548543c4fd391b4e377593bb6816adbd28dbb1c90ff455ce515085
lock-exclusive	5	3	e0	sibling-overlap-busy	completed	b12561818038e3058f697b9e9373d9c02232a71ac3a6e148d059323df94fd0a8	1dd20f33a4a11e3da73a6cdfd7f6378d512508b629dbf82675accb857251aacb
lock-exclusive	0	4	0f	sibling-overlap-busy	completed	5cc39b40a88990360c467cbce79f9fd0d43d17a572ead4b35664f7d4c3f0bd04	c43beff885f99063cd1bf5a49c4da382cf9c604dadf5d788e6994a905795a4d7
lock-exclusive	1	4	1e	sibling-overlap-busy	completed	3d9f505db39b16d375f873b9978261700a02cba4092833b633b8b90ad3737d80	0a6501c5abf9ab7005c5aeaf8f7fd322fd9a29b79cadbf24cd90da0cf162f40f
lock-exclusive	2	4	3c	sibling-overlap-busy	completed	f84a8318971dea27ce4d8ee931ec9b198578b9141f35ed9378f414892dcb4486	dbd1bbe622e13fbf5b95b1a9a178f9ce191030cd10f83f1bb25b960388545f47
lock-exclusive	3	4	78	sibling-overlap-busy	completed	8ce103938483440df767a226a6880bc35b3bcbda0ff1be91b84d71071a687763	4639038766aee5afdf08899b7fe77b688544b6a2e0a4f00760e2a3008774b1f1
lock-exclusive	4	4	f0	sibling-overlap-busy	completed	a7d8324363679511b8998bcf7f1e504f206b0d36d0aca00aea656da8f36d3bbc	aa877bff56562fb7d2af98692bc8e168a091b12ccd8613e5b61eac0daec65ba9
lock-exclusive	0	5	1f	sibling-overlap-busy	completed	e2943b97f4c49905532fb42769e8613719abe3c5d51c69f1721511b1d17f85af	ed0e92d019cc902cc84bdceeff98adef45592ca73ad8a1cb1a77d61be4557cf6
lock-exclusive	1	5	3e	sibling-overlap-busy	completed	3fb258cba4ed7f46d6cd6bf35b1fab9a1677139a6aa9b5ff07841db1f883956a	86c8ec4ccd2e22d3ccc1762a5c67ca64fd62e116a6d4ff97385f3448040d33f3
lock-exclusive	2	5	7c	sibling-overlap-busy	completed	a1c0d3255941c598245b56ded10e4c005f896f221ef58a2ad41546318363cae7	4fa022fa1943a82237aa6607269db848614047625da94581148730fb46b9a503
lock-exclusive	3	5	f8	sibling-overlap-busy	completed	1bf7f95dd3c71f35a5316ed6fc5f58a6d37b568079364c15ebdd4f0696551071	10e28ae7ec39201ad201d002118787d537d35f1be1c2f0d20fadde6ba49bbcb2
lock-exclusive	0	6	3f	sibling-overlap-busy	completed	775665217dc45a0efca2e5f3380e594e71e81ca7e9112c064d800c598ccc79d4	621d2c6ff438033a8b2f135c942d65ce4500cb77d0bbb270da5fde34b91c05b1
lock-exclusive	1	6	7e	sibling-overlap-busy	completed	b6475cbe81f8897d34440888085b637fddfdc2ef24675b2d9e0fa31df368cd6e	b1dcc8ec4093a096472e093caa4d5e5473e1e3491c110c7252d20d6f845dfb35
lock-exclusive	2	6	fc	sibling-overlap-busy	completed	680a77fee859e6a9da75b656cee99403572ce0c6cc0adee6d6c917b8c5f20565	7aea34e581319e39bea4d83f29c9a792a9e3e5a3e0ce6ec2d0dc914f49397edc
lock-exclusive	0	7	7f	sibling-overlap-busy	completed	bd825786239ad57c1e763968319ead58c072e7a36d9bff7786c31657c2aff1e9	4e4c4f3694f9645c085d969d2cdaba11f744a3f5a3d1465d59a3e8a327831969
lock-exclusive	1	7	fe	sibling-overlap-busy	completed	3ebcce1f3b0d2b55f23f84fb1f6830b43d66c562dfbe84a75ccabdc29b9ae214	cf4665ad80b0d7b121414412b737459d7445e0912ff1a6b8b8d68e651d4f0e67
lock-exclusive	0	8	ff	sibling-overlap-busy	completed	3b4c28bba8bd3ef893e8ec61d767c1674d457bb7c98d32949c05c4fb1f48c403	797b70118c397fd811a3fe2c4f118e529d91aa62446df3261c9f4dd7349b7eef
