action	first	count	mask	rejection	completion	case_key_sha256	full_record_sha256
unlock-shared	2	1	04	shared-not-held	completed	a6173d37436dcf9f7b373240948425f831bc0023840e8048986cbc64e3823673	ed2300c825b44cf6ebebf57875cd20d21c86971e8a0eda0216f02f5f113f5dc0
unlock-shared	3	1	08	shared-not-held	completed	3c12c2deb6819e79e39e33cc195f1237659ebd54e6a5ee5ae032373ab3b04a7e	1760eb2f31e5323ab46792ee4da8f67a13396310b60b38a3c1b7d808bd294f05
unlock-shared	4	1	10	shared-not-held	completed	2635e97c30e936a9fc13f0d8802150d072ed736c303b118f8d9c6e1c19fe0200	9adaf38fefe3cea948e701fc001789232c89b10ae0391cc0dd69e549c1650fb7
unlock-shared	5	1	20	shared-not-held	completed	9938f40b084778b962337ee2caeb86ae11dcd8c137a8f14d9c5b127b1836447e	abccb82554602d289071e13771b93f9bcc520931236ab2070d11996906172175
unlock-shared	6	1	40	shared-not-held	completed	fa3740e9e6c02ce47d4f58cc965bfc71ef7b76b0fa3e0b88013e8a46c0c56e35	519c7559e25bfdca7c816684c14ec7380950a2ab06d7f0b457e88a21e9aaccfc
unlock-shared	7	1	80	shared-not-held	completed	e8fc8ebd5fc1137cd1a6b050e20f0755439c7e44507d1ffb075857b52d9349b9	ac517a0269b3c790b47ff8f375919c9c5eaa9c58435d24e149d3f97f87612aca
unlock-exclusive	0	1	01	exclusive-not-held	completed	d16e3a0b0da7f853e8231707e0a52773eb62dd67f599d209f675bc9c1f4e04a8	016f5cbdb5f366dfb07179add05b2d9b3c852a787b4c043d67244be884a2587e
unlock-exclusive	1	1	02	exclusive-not-held	completed	0c9aa4394734740f08339daba0ffeb73bf4f47d88511c2dbf1d88eca9fb63596	de5504aeb82d8e66c3c137477cb194b6277bfdda07047de152c4600d0467ac2b
unlock-exclusive	2	1	04	exclusive-not-held	completed	2d6843b0479f6f940af68508e14435a7d34a85715d599c21ce2a49fdf25eb4eb	86e40ef83210a626a37f2b6224fa2f2baa52c01d2bb3417385a6822453b312fa
unlock-exclusive	3	1	08	exclusive-not-held	completed	4e767eb0ddc2ffe2b845a0b5d86a614db6c04b338b5124a52f35ca8fabfba3f8	27db52435ea8c300d6a87d6672bb0d387e95d7e7d3ed86fb0e7de28592acd0fe
unlock-exclusive	4	1	10	exclusive-not-held	completed	f51a75ae19797672c81c50b1211c48a8d53d9327ac35c1f8641c2107f198cb2d	c08c5c4a2cd6d553f2909784f26975d000d66274c51504b53a56dc3593e9466c
unlock-exclusive	5	1	20	exclusive-not-held	completed	45eb2707359ca7216ebe977e5d4085a3c60d3b066d8182ffd08c6db4d220b758	99ef55771c7fde8590e1944ba8a626bc433075ea03c7fc12bf69536f461486e8
unlock-exclusive	6	1	40	exclusive-not-held	completed	3b297527eb447c175e4697795370385505fef68a6867b78fea2ef8fb3163e4dd	5ccc6cecc84dac1d8fce1d776ac7a6c0e79c619b0c096998134d4109f2d178f7
unlock-exclusive	7	1	80	exclusive-not-held	completed	a291a2d24f6826bec58ce77502b66339d4273db5778c7c5c8cabb59eba8d5dfe	f6591e0b84297a4c4e6db257fd26a8bc7247ba2e17e1da021bb09006488c4b3a
unlock-exclusive	0	2	03	exclusive-not-held	completed	d548ab7a73495ae5907d0731341a70ef0307ccdb990b339fe3b7d181399e79e6	affca2a23c5fe6b896aae2eeff408a0bf9692fd6c6a1b03ecb6acdbbe0dd0441
unlock-exclusive	1	2	06	exclusive-not-held	completed	9361c02e3a58da43ca9ecb7c2c41017f21903bd166e0834f0700d4872c5c65dd	30e1b04694dad12dacf1f81ae80a5e20830504fd33758ab5a8a78b5dc3a83f08
unlock-exclusive	2	2	0c	exclusive-not-held	completed	23485c11ea98da83f3a6ce3cba2e71d24fc284d0c487e7df0153878d581a69cc	ab03427e745808b79d0fbfd11ed6a82f983d4cac2d825f15137ea6d29c380e63
unlock-exclusive	3	2	18	exclusive-not-held	completed	511fd863edc55d6f8d8a0eecb494210f752943365edd63d258d550790c271866	5ce23bb7e2c8ac84e6371767fd6e9040d44a142c21d2f154dbd8764aecedc996
unlock-exclusive	4	2	30	exclusive-not-held	completed	2f91cd8ee14425b104bc28116a983e2fcb46858efc32c7b945bede1b09ddaff2	b0416dd19e451475b2f24cc484a27c88c7519e1888a4ff4f035b17edf5a5d445
unlock-exclusive	5	2	60	exclusive-not-held	completed	afa532391896d161ecc88c033e991007f51b674a091e70a1aa108ab10a401cdc	ffbb38ebe341effcb745044eb1cc7be49d27031f879de78343f7e7c7a2553bc2
unlock-exclusive	6	2	c0	exclusive-not-held	completed	9cc3cce67f15322f419307bdff65355af00f201997a57a7d8b875598e59e38ed	2f417a581293a80e88d7371d8967da91921ad85adcbe5159c065efe346a55116
unlock-exclusive	0	3	07	exclusive-not-held	completed	9d2801723df03b4e2588967931142a3cc1ca0b7f6beb428193f2161a24534c4d	2b2c6cf893a1c495cfb602480bb7d6763869d94238709ed978f4754c9ed0defa
unlock-exclusive	1	3	0e	exclusive-not-held	completed	460cf433243acd1fe7d51d1e59a65e81ddeb00a9501ab014086cf3639e117d60	0a2d6d2500fd4bd7171137fa76197ed6c8caf206eb52d57f4de04f623d8097c7
unlock-exclusive	2	3	1c	exclusive-not-held	completed	413a7dc4614510a2dad634f4e841900bb9d4a53660ddf4eab78376a979563a1a	ba317d55e4ec842c16db32a8c6136f5f99d1a647cfd514ca1cb3a503507d0b05
unlock-exclusive	3	3	38	exclusive-not-held	completed	b79cca898b84739a534246aa566bd885548ae2b84d841123fdedcfe6d738983b	5536e9f8e84b1457a965cded936a1de9040eb9f399061613d719de7031f2cabf
unlock-exclusive	4	3	70	exclusive-not-held	completed	339dd3dc7f5e91ca62de24c503cba3cf75eb7aa91f84420c9553b3734e1f0d9f	134e5c625a3548c07908604d57dbdd864826ae3f85730e26f24e61f5ef2f2409
unlock-exclusive	5	3	e0	exclusive-not-held	completed	b125c82e432d230fc693833a3436459ec7aa0d309e41f3b7dd3000cf3c99ff5e	fd5238c6b7c4f999685126155e849dbf0255a1ab5e24d8ab2f9d2bbb2535141b
unlock-exclusive	0	4	0f	exclusive-not-held	completed	9f786c5f85b9b1825f280c02d2f6b9701eacee314bad144c6637fca843ade89d	b42738041655f837978ce0320446da1638e821ed6e3ba2d0633f61a1d0f6aac2
unlock-exclusive	1	4	1e	exclusive-not-held	completed	eba836e92de01d4e2017edc3a3baa032bab0fbb2b38229520d5fecaaa5e63e7a	cfb97fdd00cc0cb92a637abcdb5b6b397f580db489dc3c4fbf9a48ccc8329d3d
unlock-exclusive	2	4	3c	exclusive-not-held	completed	16c04c4917e84e3d860eba7233ca3ceabf988746c80bc10f31360aaa5ef27692	e48352e6104fd5444ce2f28e6b5fd27c89be26d4f085ca4ac11404fbc3d811a4
unlock-exclusive	3	4	78	exclusive-not-held	completed	b0c9f757373abdb50e479487a794be16b0ac000051c12d956d748c05f4803bea	68610a14986a32d1b47ea58d5e000b236223a2c1e24b279ac5e14f7be0f0ce12
unlock-exclusive	4	4	f0	exclusive-not-held	completed	d89df230fc775b990be88571a843f34cfce32d13eddecfc0253b52ff9b9544cf	3c62f93a0dc627886668cf97565f0e44cab4c5ea2c2840afbe7ee524d90c1425
unlock-exclusive	0	5	1f	exclusive-not-held	completed	d1a1a975eba8b938f55bd3257965f7589bdbd2d60b919795639a6e05663a5d16	d13f9d61224f64150561deb0f12db059b1644a252d572893fd1cca63c53f5865
unlock-exclusive	1	5	3e	exclusive-not-held	completed	886980aa01e7578531b81c2efa803510b0c5ed065dc84d95cd4b199272d63228	c7f3f085b2f4a81e045a28f798c14deb2c4b0a2db5c13974da3b4722efc80428
unlock-exclusive	2	5	7c	exclusive-not-held	completed	9e9b73b8969bbc4559ac8e015e7e6c969047dbf2d7bef5e4150e0c56f02ef29a	75b614c641a78391d2990ef74465a3083cad1f22d2c925cb49335c8be2169f09
unlock-exclusive	3	5	f8	exclusive-not-held	completed	54f0fa0c42a608f334ae577a218d85d918013053b37b2d4051164a719a917cae	6586c3974d126b19c7118f5a575e04804a8a34adf498a8294b8ded154dd566db
unlock-exclusive	0	6	3f	exclusive-not-held	completed	476c4ff1cf2121cdeb0f0dbde4e723d65aefeac8da2603fd6f7150d59a49b1f1	49f1af844e5e1efc45d8816c6902ebd60e35db4c4fbf17448e0aa9381dc3d346
unlock-exclusive	1	6	7e	exclusive-not-held	completed	d2d6948bb5a7e7a313b33162ae5cb905cae012628f9ceb34ca8c7840cef9ef2e	ab882e30054f2cbbd65618cd31557022b7a86669a4855232a090406f68f89651
unlock-exclusive	2	6	fc	exclusive-not-held	completed	aebbbacb10ac253ff646bdf29ae270f609436b4d4778e355a4d6b4dd149b6515	2f56c3cc1a49210b6e8f4cb8fac328562ac1d94d03ef378ed1597037111e1f9d
unlock-exclusive	0	7	7f	exclusive-not-held	completed	dc47370e71b98450bd75e03ecad9588e71fd45aa1a6a96aef42f16c8ae0519a5	20386e5085605574f05c462329c1994dc6f5fe02f7471540631ae32eea04a540
unlock-exclusive	1	7	fe	exclusive-not-held	completed	42d64216ab426eeff9564954eaad1fc44161552b9d681a2d2dcff2443bc62911	23b9ab15554ef42c3b88fa56948c6be4e3038ba05899367e4b879fe20bd3801c
unlock-exclusive	0	8	ff	exclusive-not-held	completed	19800a3f6f14dccff92d3a74471456f5a1fcfd91333ad8964807e64389a9676d	f31ea45b6f030fb618ffb700c0b2978dc7980515723e578d77cb95c82a402d57
