action	first	count	mask	phase	mutation	lock_outcome_uncertain	case_key_sha256	full_record_sha256
lock-shared	2	1	04	ExactSiblingDelete	uncertain	false	60789187bc83082556ebb26d5d850d5557e8e621d4591cc743c02f9e533ac46e	0d3ad02ed14ca9da028b8dc4211cbaad69073304325f8ff26901f481fe2d0792
lock-shared	2	1	04	FileGrow	uncertain	false	7f6fc6ae001840701f3be33f3648c81952cbde139fb720550cedd81b2333e93a	f7508f5a90117796966ac85b41b6f7253313c5d82321bf0e4582f3a3a48401fc
lock-shared	2	1	04	MappingClose	uncertain	false	6de6092a7a379d0a28ef7fea7e231fb194dfcc1a80193aca003a451cbc4077b5	9acb3275f11c208b03e651addbdaab6e1ed5b4ab83521cd59fe03a1b394c1c3e
lock-shared	2	1	04	ViewUnmap	uncertain	false	eb29114c8e3befa97a58e598be3944dd1d406d424a5f076d10f57111bdf16a61	22e4094a79593f1acd279e096e929fbc7e8affb51b43065fc2ec1ac9331d49c6
lock-shared	2	1	04	LockRelease	none	true	2fb2335f4455021870cea063b213691870234f03e7045ad1bab0dd5c50dde9ee	43d5d033a3ebe1eab80601414c62b0dfb4517dda93101360c9bdc96aa564fbcb
lock-shared	2	1	04	ConnectionDetach	none	true	fd5f1ba1c6d2339ef13181519d2f351168605bcedef31a3020100bee5b39298a	40176c38b74144991260e318b44769b0ee98ce80de29ae8162fe83bb9383a54a
lock-shared	2	1	04	DeleteAuthorization	none	true	1889d130597aa81de5dd64aee1ee520953083b12ba5db41a06f744aaec0102ac	1ca21d1e585a31ce7acb337ed5b43cd39c71374b4e74e8d89256dd86d6347bdc
lock-shared	2	1	04	DmsExclusiveRelease	uncertain	true	3223e0b0cdd168a3e44c3ea29a8ca97637c7f538dfb55f2a32d1300cc9275b4d	e3a7217c84d79496843c8fefc447751d39ed4afa0bc176f82529fb8b489cc491
lock-shared	2	1	04	DmsSharedRelease	uncertain	true	d253fb35a081cc03a4aa762296e6c78092582f5ee66d3ef1947197b9284f08b5	70c19308252927d3e44dc784612f4be6d76b022b22d8a4db1722fc81fce012aa
lock-shared	3	1	08	Gate	none	false	12248a06d3077f5a8265d6f463d0dbaf6408ba75550131e17d87d291040da169	e211a80d30ff2e53a0a390e54c5cd136a011a9da491c1a8849856be5171903ad
lock-shared	3	1	08	FileClose	none	false	1194d8db29cb627155bbb04513043f541d9134468b7768f791ad27c74016d020	b2ceaed11e34ff1ad502d44f0bd22b749a0d6c7f17c1d65c63c4f77b00638191
lock-shared	3	1	08	ExactSiblingDelete	none	false	1dd260813227a75d15da95c2a28dabd991718590ef2fda5c3de23ec52f5a0e27	c568306b7615e127223078f365233d0a0d93ff29a8325736a7782937a7a39553
lock-shared	3	1	08	ExactSiblingOpen	uncertain	false	eb0007f9e45d6494d40c575bf99de7681fcc852b94ba384aeff0774d4c2a8722	befb03f9295f42804a771809082b0e9c90867fce0b5be6c60aaf0e3ec00b0196
lock-shared	3	1	08	DmsTruncate	uncertain	false	d461ff405415d16b29b12c35f68c79cc7979136cee5c2c5c377cfad5e549ade3	f00ffa8aab02104789bf62e5c2ffee34bce7388a812a181a494058f6b350637f
lock-shared	3	1	08	FileClose	uncertain	false	9471042f02ab36e542a80ac4e4dc1e3bfd8717151b60295aa903f95d549b7951	b8d13b6f60db3d3f72632822440582761121e26ef774ac3c4ee60f8478a7539b
lock-shared	3	1	08	ExactSiblingDelete	uncertain	false	f158d4c742bbead1ec1c2e78d1742283c4ce3d3e7595a706206617b8b7db50f2	0977b5b638e80eb6cf4c0b36f24ef345f0aa7bdb9d8c56ecde321b39cd7bc434
lock-shared	3	1	08	FileGrow	uncertain	false	a3b1cc09c19995367d141925f2bda476b10ab53fb21e1bec86edf2faae224b4f	3caee29ce40dc677da1e60443e8c9fb83ef2a3f24f3becbbc6bc091a1d93f77c
lock-shared	3	1	08	MappingClose	uncertain	false	0e1bda00141b3998c8b0442237c59530efacdbdb878392ef274e25ea279bbc89	bbe538b3c5ea39eb4dee4f6c8d132db9aa23164d93755154bee0bd9929eeab45
lock-shared	3	1	08	ViewUnmap	uncertain	false	7e2f1f34d016360b5a697c82602cbd7fdf7314844364eb383236aa485581efc1	e39880dd6ed1b97c4c97d579477e2c3e75a49d266c4f65aedbc92108ec2f23ba
lock-shared	3	1	08	LockRelease	none	true	26f5b0b816b0cdd7d32c02dfb7deaac5674de1ecbcf65bcb2b85f6b4eff7c4f3	a381f00f89235c6f28b192589f001498d5dbc76c3c5003cd6b4f643ebbbe45f7
lock-shared	3	1	08	ConnectionDetach	none	true	54843713c5aa879700c0dde05dcbc0d291637e79306406eb003091c4f65fbaf2	2fd7f032c55a8dcf5a3151a442d321259a4471bd8e1eb3f4dd9f533444347e16
lock-shared	3	1	08	DeleteAuthorization	none	true	ee60b67e0d323ea4e6c896d90ba611e80a368a7fe80ddedcd4cde02ab6461364	d76aa35d33fa5c0dbf7fd69ad176e2a100a19128596c7c558e2ba5f65a1cb06c
lock-shared	3	1	08	DmsExclusiveRelease	uncertain	true	064ae9b7d28d13ca23ccedc1368a598c5ea2629a5fc9419b5600fe4a27afc5f5	e3ded2a263e910e9a23c5e904da7c0684866c90f702f70c3a9e89f5d2b6cd4a1
lock-shared	3	1	08	DmsSharedRelease	uncertain	true	1764be1090786f37619c62665e663b2e004cafac253bb9cc749de7fba5cbd08d	5550a5e0d7acceefce92e81b3de1e9d680b4a218ffb95006b75dc7c3aa963625
lock-shared	4	1	10	Gate	none	false	07e6cf0fed7b3ff360cc676e7fb205ada5ee3081ecd28bacbe142446768e107a	0ef8d9146b610d7db39cb5fdcbdae15049e22b7e316e09f24c8ffeaf88c44b20
lock-shared	4	1	10	FileClose	none	false	77cb4dd31ee5cf3264279d5a9528a28f14cb43a03b0eef721551c5459f17ccc8	7fcf98528797413399217e675ae7e4b5232fab423caace92bf1f929b3166f8f8
lock-shared	4	1	10	ExactSiblingDelete	none	false	bd07d693d399b2157b7b7a6ff8be66253684c5f136752a98b7ec75efc48ba000	bf372a95524f93af0051c7d5a4187f808a911a896f5647492c772db9a241c2c4
lock-shared	4	1	10	ExactSiblingOpen	uncertain	false	9388bd9832fb08af55142cfe8181698972a76a52ba9f9301eff2004aa8eca1aa	2bafee146e2dad716c18671a9dcd1f759fb81e57b6b9b25763edb16403e744d9
lock-shared	4	1	10	DmsTruncate	uncertain	false	47527abce52720876f56d018da43b0bcf0e92edbd39c6398b6727194de57e829	b5a2380f8522291b2f95ae1e1e616a0a488e58118f3126b05cc8caeb9a4c38cf
lock-shared	4	1	10	FileClose	uncertain	false	6c3f6505a35855fdb8cfa0e7b9c40477bee5026f14a935195ca3e3f0488a5f50	57998e9288f1000054b88da42138d6131f32b98fbba438288a51fb3eb60d6160
lock-shared	4	1	10	ExactSiblingDelete	uncertain	false	7c3f1dcba4df70ee6a77dd6d5206a75260f5d006c7f4b1dd5a8ff8bcf03eedf3	51657d80fcfd907753dcaec322615d5ae923fc09d46e3a62bc004d0e989ec450
lock-shared	4	1	10	FileGrow	uncertain	false	15fc4ef4d585d855be61e16fcfccd484b180d9d9ca1cd502cce645739304392f	f104f2fed6169271cd28ccc6483139a7393afd715fa48247e5e7de3535108135
lock-shared	4	1	10	MappingClose	uncertain	false	84955893c2bd563df0d053ebda24472ef307ec1aabeb4de46db3e65784fa61b7	827d9f39065033ed36a3d5a280aaad4bd3343c5db316bdab1999f736e26049b2
lock-shared	4	1	10	ViewUnmap	uncertain	false	04c034072c9daddbd25549ef3bc21a6e72d68db55ff3f6058fdf200983e1e7b7	229ebfc577a37aeb38d213aa8c64bfc21eedefd4b52757bd217cf612e86d6b7f
lock-shared	4	1	10	LockRelease	none	true	5ce72ee5b835d4211f9ea0d7a83e8c055eb363120814a3202d0ec54f10cf15c6	c88b1f7f0df28f92a31c96390823db0d775303d044e1be0db54d067ad20b3eb1
lock-shared	4	1	10	ConnectionDetach	none	true	941bcac1447f51a489231916f367d9590361b6e1aa591d04b2f965f7cbf90fe0	d4f909f8ebb4e1f8127b9c750b40052882ad6fcf6c1dcee08ea16da6cebdc509
lock-shared	4	1	10	DeleteAuthorization	none	true	3eee1b3003ade45ef9d79f1f7026f5955d416fe1c3a42e03a5ed153287d5417a	e59ac3ea75e95a366e0e440d82ffa3d57f0c76af033f1a7ab475a1b830b2a04a
lock-shared	4	1	10	DmsExclusiveRelease	uncertain	true	6edc70d514250f64c66950260066413cbbb3493c4019698cd073d2d45c0d9fde	51b8be0880d79adab5905324bdf7af22b979020026358297ca0a37f96ceda603
lock-shared	4	1	10	DmsSharedRelease	uncertain	true	a46fc19049dbf423de86fb06000b332331c163057edfdb654c7b672b256da5d9	88bfbb9fcc464b6c6ffdfe927a1461ad4d828536a36cfbdf3630329f2dd4566d
lock-shared	5	1	20	Gate	none	false	5a5c9cd76644045f331ca21fa821cc741b7e897021a096f14931dccac378bbe8	16b0a0ec6efe7aae9b08c0dfc7e89ed38ee536ec22d4d095f2d461f69cdf8225
lock-shared	5	1	20	FileClose	none	false	5aceb749b206c5f4e0c0bac60cfe8ac73d91379f718f4f1eb32f69e42507e068	d7f8fa27606a5bf69a68ee1bf5f36c2821faaabc9ca38b151e98cf56495b6ce7
lock-shared	5	1	20	ExactSiblingDelete	none	false	a63c3e6f0db6be84c0f6046037f7f4452b29766cd1bcdccef797f4c6644781e8	e85bb8ea36ec77f42d15723b08543fa651e53c200a6447db2ab0b52bdf08876d
lock-shared	5	1	20	ExactSiblingOpen	uncertain	false	da689f799d7ac206a4025ad7dcd924c487724da1938f5df4c0e6b149c545ca8f	19d00feef0209dbb49288a023b526a6d48fd169ab2f039907839768d4c5d79af
lock-shared	5	1	20	DmsTruncate	uncertain	false	bfddf3b099d3f4e4419dea0108bfcbcb9a13917a4cb834303b980df1008ad61a	07518e19bf05c7784a433d555a7b2ec2cccb62d1ce2c52ea3ad893ef6b560ae3
lock-shared	5	1	20	FileClose	uncertain	false	69c0f5f452bec0a8ff84ef49dc12142ba8a73409c8c2686e3efc2b3f6d1d2d9a	c2544b8570f8f68080a75d2671a7099b757aaf4b0993b76022a31fb608de0aa8
lock-shared	5	1	20	ExactSiblingDelete	uncertain	false	a2c6493158543ea8af6524a0d59adee5f026cbe9c77e4c35b2d511ff5f3d65d0	fe451fe9605e385f830d7df25b39d9851c2284fbefa634713a8824cf493ab9d8
lock-shared	5	1	20	FileGrow	uncertain	false	736658dfe64f1bb6777d436d6cc4fe26684722c67c2d2e0bee7a40d948f527c8	9b1e8e00a97378876c7d344293263217313be254ccc62d7ec0b89a294ea9dd11
lock-shared	5	1	20	MappingClose	uncertain	false	2c0fdb6d8282767cf6dc1655b77023925279430fa13a387009facee095cbe0e1	2d4483dbfbfaf8fb28e1219a39a752386d72a00ef3064efe5e20ffe6a6da449e
lock-shared	5	1	20	ViewUnmap	uncertain	false	ee195a231b0bed3fe641befe332299b9de9573dba2a77674cb69e844ffe7f22e	f41c5ed9b6373079575cb3c208b7d24386ec4c189e54ae8c02fab82eba7c3928
lock-shared	5	1	20	LockRelease	none	true	8dd15e0bb7af914a4d441bf336f263de8efc3d99c696acbafbaaf331c706ec8a	602b521150ffc01945c80446c6d15cc52dd3201ee56baaaf95305c223f91fad2
lock-shared	5	1	20	ConnectionDetach	none	true	fb5241624bc9821ae19b1b260623a82235cd3855923eae7671da78073251124b	1c5b10b3dcf44bca26909eb27feafea8a59f9769590e03a7faa6a94eb6efd900
lock-shared	5	1	20	DeleteAuthorization	none	true	1043de16925e46d3a6acd41a1707035d9e81967c3de5a55234341946f6714090	4665763e43a0df570dedf4fd9dcc8b74fe1f09e9251d36492b9da6d5102c17a9
lock-shared	5	1	20	DmsExclusiveRelease	uncertain	true	f7f2d4fce66c09411a8356a7057b626210ae11e8c4a8ca824abd75a362969e29	97b011f94409a489a945a7a9e3f88c343ad8c430a657fe17afabd36db90b4c71
lock-shared	5	1	20	DmsSharedRelease	uncertain	true	97168aca0af41cc3c071a2c945f842acbbab03d493530c1e3795d192ccbd1cbd	29c0789969726d04339945c045708361e63d2520554456dd5e772164cc29452d
lock-shared	6	1	40	Gate	none	false	f53d3088fc67ca06792cf8ee8f9314331ab945603f8ac8faff08b05099fab157	58f3338d1e2b1ebfbf1026eed6701b63ed7845104a445723ef20d720943dffa3
lock-shared	6	1	40	FileClose	none	false	825c79a329bfe39f19a91c6a0a0d9bc637469b9de19c0519aea1e6f623456c79	e843af7e6149c4efc3a915339761cebd0211a12ebb75ab25be2e4bbf22e9a01a
lock-shared	6	1	40	ExactSiblingDelete	none	false	64482a3dab277e925f6193cfed9b384a87bd53ad4526be87c81d6e5784c4da76	ab97966a76fec9211a77e98548d77143556016acd4200ec36aa1b0e014208b61
lock-shared	6	1	40	ExactSiblingOpen	uncertain	false	4506163c5b976bcb7d6ff0bf3a0167713878e62f728334011c0d5d18bbd39cb9	06b33106be84636f6cbd81156299f94c19b5df1abbad07a16d460598b02f3ad8
lock-shared	6	1	40	DmsTruncate	uncertain	false	239f96b90649beab678a77e06ad119bd3bffecd36138f6579bcd9cccbdc332d4	f5df45cb4add09486a3ce8a659cfcab5ab193c2f42dc69cece1669601330b884
lock-shared	6	1	40	FileClose	uncertain	false	905e8f8e5ac2c9e8bf46d36ec7a8509760933fae5cef0af9fb8a7f948f6affd5	48b641c5d06de6fc3bbc4161506d64e96836ac72bcee317f3e074ddd2ace0a9f
lock-shared	6	1	40	ExactSiblingDelete	uncertain	false	6f26664d2215dc413dc586d3df64345b541a4212c7267c55e9e5fe942a59bee0	376c4c7ddecde80300c095101515e6fa61b71b87b1d0c5514840c94c6ceb8bf1
lock-shared	6	1	40	FileGrow	uncertain	false	ca06f6dfcc34d1862c16d4e17cb840d6731c868d68dd9610f46967ea52a0edea	24a4f7f464d19a8cffa91281e3186e801d3a1b1c840d6f26e2a6178495ca91b8
lock-shared	6	1	40	MappingClose	uncertain	false	adf33a6970ab5602decf52326ba3bd426d2cb762c071129cad5ee01c446b3156	bd551fea48c174365c79300a82ec2e758733d1acd5f99e2c222c75a3455d6d0a
lock-shared	6	1	40	ViewUnmap	uncertain	false	f2db18e572c34e67a93251675549c4691632705a45e9034a0afc5a8cd3dedb6b	eb067e3050256d77bacd1536f28cbdee690b1873834a022da7cb3449f250b7f9
lock-shared	6	1	40	LockRelease	none	true	f656109d18336f38363826d94662600ced4fbafb16a187b0bacac0ff2134d867	daa9730df97182169680419703f41db7be8ff47cefb6a5b259484b402310902c
lock-shared	6	1	40	ConnectionDetach	none	true	f4a1bb4ab48f7b5eac6501b8b2922ca909efd05aa087926b6905960ed22ad08e	ca1cb65e3021f20a1ad09b6e85c5bdf56ee11252313d393c85b272af28f8fe56
lock-shared	6	1	40	DeleteAuthorization	none	true	c340a8e0c1632f9c54f873db395364bf948c21eb3b7854e31f00beb45c122aa5	6a907d21f8690765cf693fd9fe3256b07d8c8aefb62049a74dfc58c4a8f9289e
lock-shared	6	1	40	DmsExclusiveRelease	uncertain	true	e8648562aae24bd11027433073c8a93647e55e125207b7e32417f13b9d71fe9b	3425cb5672a47ef080c83fec3970494880a1dc4cb0c26c9eb197d259eec7da2d
lock-shared	6	1	40	DmsSharedRelease	uncertain	true	edcee735fd5246bd347406cddb42f46c10f630951ad0599a684e1731e79d26f3	144a1ad630ee91245716fcc1cc035393e924b350b5fe71c58c4952a1a859df52
lock-shared	7	1	80	Gate	none	false	3157b0285088290d2e728e9ef83c4630d9df13441a5c22ecf7f312d5dc55b763	fd90acf1857e46c69e48f6726c34275aad8a665296950c44714e79256e4531e6
lock-shared	7	1	80	FileClose	none	false	b2aad8384d7463037fc4dfe2c15ba16a9123adf0c697c0b3783b876573351317	b33f7123d2a20868c6633ffed73bd87aa60b671eca1f9c13bb364910cbc41122
lock-shared	7	1	80	ExactSiblingDelete	none	false	fad2d75008db204fafed8c71c496abe8f8e2376cd2f4b84bed546332c698bec5	f03adaa5e93de519d6c2be9215dbf0874a7d7957b34d34984422758d617831b3
lock-shared	7	1	80	ExactSiblingOpen	uncertain	false	01ab9840b416472597d056af25ae4cb34c057db92630ebdc1039240fb324487c	27841325fe521856604cc64289ba1ab2b0b13fd01aae9f72d4bef9fe2521adc7
lock-shared	7	1	80	DmsTruncate	uncertain	false	71b9bb035ee076237a30174554c9eae1da0c3e5d80ff02ee6a763f9e297a3e27	0ce47a67ceae73f45cb011351fe4d358328ea4881ad7200b501b405faf195fdd
lock-shared	7	1	80	FileClose	uncertain	false	4e6c299a0e11fd0ea61eb0afb6e0d91e1d5f3453195003f28d2095c953489a8a	e32d484b1f80d25324b14f25e71f58631a7eace929dab3da8c5e701c304aa604
lock-shared	7	1	80	ExactSiblingDelete	uncertain	false	8ab64bdf5f471027a01a33e621a9037ee72af93dbc5fe9d27141a00fe66d8387	e69bb2de883045dc205b3818019783dbfdd3ff30f818fa6f917eb8599259dd5f
lock-shared	7	1	80	FileGrow	uncertain	false	297bf3c037f0f136664ae3dbeea79aa4035988f3078822fba93e1ab750e08876	f82971051aaea9a13c1d6a9fbea47e088a734d0f9bdedda34c7496005c003d6a
lock-shared	7	1	80	MappingClose	uncertain	false	b8409b0f4d8456669d41813fd8b673234e3261b934304643ef7d26d39508a8f6	c5670905df2b7dc89d8f6c91d955c81d4c794017f773806941aef711306c7424
lock-shared	7	1	80	ViewUnmap	uncertain	false	ca88cca443703c052d9c345cd1f4b15b93ee51d53c95f7631fac7daf31ec526c	c0765c23339daa044bf579fa5eaca07722099a5d78fe681226808e6d08d13b25
lock-shared	7	1	80	LockRelease	none	true	139b4d4714bdad49aff3003b8a60671957160b173e9eb299334bfdad3716c3aa	d54a7216118bb65c3a07a61472353fc54ad7d1a89e2c122a2a794f10792490ea
lock-shared	7	1	80	ConnectionDetach	none	true	bf09481626958f53df90f3913a3efe5fc433d2da22274d0ba9b1c9fd2eb8004d	20348ca23741d97c98ec33cfe36ab607257217a5d04b551c556379423e33aa31
lock-shared	7	1	80	DeleteAuthorization	none	true	394bd5d4ab788f30b48712e3e3d21d7900911de502531412eb95535a1d7d16cd	b2f847667e85f65f2796f669bf59cc646ff713602943dafa9a9814cff76265c8
lock-shared	7	1	80	DmsExclusiveRelease	uncertain	true	704e89a5a7a3919ca7488d088e821f0288679eb50e4accaaea725495844eb5f8	04a2bc0b27db193fe86a1c8382a0fa9ea7922758c948497d5bf763fd14fba967
lock-shared	7	1	80	DmsSharedRelease	uncertain	true	6c79838cf62714b4df534280ad099ac178292fa64667233ed2de7539d13907b5	2a02ddd43552615c297ef4acea4e03df535e6002ef9b0a80ccc622261557dc43
lock-exclusive	0	1	01	Gate	none	false	4294e38f22848caa52048458e2feca0aaba0126653fa6d66b5b37ad398413257	1a090f1eb248185faca247ab9223f8b4bdf9977d86e00873d806aa3dd9947815
lock-exclusive	0	1	01	FileClose	none	false	c92b63dc6f960d37f0aed3e02b332cc0670a60c86d58656a5bf56eb04babccc3	cf3f2a87ee52508edf4c5a59d850943c092de18c45eb8b0275f7ce0c8a54543b
lock-exclusive	0	1	01	ExactSiblingDelete	none	false	8294d408c14343683315ee0556ba6454a49e42e98c81e554e7237349ea29bbed	850e18d9332db917890ea5ea2108a025ef23f751236649fe3ac5dc22928c2443
lock-exclusive	0	1	01	ExactSiblingOpen	uncertain	false	5405c80417b3469b782e2a3d7ab653fad89feb34741abe898b99ca950e3a9a97	3a5867fdb471e1194a62c85bdc09bc538dcfa870e48f9ef4daf52939339a6c42
lock-exclusive	0	1	01	DmsTruncate	uncertain	false	293a247a17c1ae8f90153d58d5be0f60497d91e7529209371d0889ed4dec97fe	b4b802177a146aa84dc98ee00bae7fa1e39b67a9311db6c3e9da8fcc494e1493
